work_year,salary_cleaned,salary_in_usd_cleaned,company_size_lab,salary_currency_encoded,employee_residence_encoded,company_location_encoded,remote_ratio,job_title_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2023,130000.0,130000.0,1,51126126,25370322,25370322,0,39298127,0,0,1,0,0,0,1,0
2023,200000.0,200000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,150000.0,150000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,215000.0,215000.0,1,51126126,25370322,25370322,0,17456674,0,0,0,1,0,0,1,0
2023,170000.0,170000.0,1,51126126,25370322,25370322,0,17456674,0,0,0,1,0,0,1,0
2023,247500.0,247500.0,1,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,172200.0,172200.0,1,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,224000.0,224000.0,1,51126126,21365473,21365473,0,72608695,0,0,0,1,0,0,1,0
2023,176000.0,176000.0,1,51126126,21365473,21365473,0,72608695,0,0,0,1,0,0,1,0
2023,120000.0,120000.0,1,51126126,25370322,25370322,100,53819113,0,0,0,1,0,0,1,0
2023,75000.0,75000.0,1,51126126,25370322,25370322,100,53819113,0,0,0,1,0,0,1,0
2023,,17022.0,0,66761783,79926203,79926203,100,39298127,1,0,0,0,0,0,1,0
2023,100000.0,68318.0,1,71940467,7221893,90637364,100,23304860,0,0,0,1,0,0,1,0
2023,100000.0,75020.0,1,50249666,90637364,90637364,0,62772080,0,0,1,0,0,0,1,0
2023,140000.0,140000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,120000.0,120000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,128000.0,128000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,81500.0,81500.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,115000.0,115000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,185000.0,185000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,140000.0,140000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,,,1,51126126,25370322,25370322,0,12850595,0,1,0,0,0,0,1,0
2023,269600.0,269600.0,1,51126126,25370322,25370322,0,12850595,0,1,0,0,0,0,1,0
2023,100000.0,100000.0,1,51126126,25370322,25370322,0,96840488,0,0,0,1,0,0,1,0
2023,80000.0,80000.0,1,51126126,25370322,25370322,0,96840488,0,0,0,1,0,0,1,0
2023,250000.0,250000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,162500.0,162500.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,200000.0,200000.0,1,51126126,25370322,25370322,100,62772080,0,0,1,0,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,100000.0,100000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,0,39298127,0,1,0,0,0,0,1,0
2023,115000.0,115000.0,1,51126126,25370322,25370322,0,39298127,0,1,0,0,0,0,1,0
2023,203500.0,203500.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,152000.0,152000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,239000.0,239000.0,0,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,122900.0,122900.0,0,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,237000.0,237000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,191765.0,191765.0,1,51126126,25370322,25370322,0,91787487,0,0,0,1,0,0,1,0
2023,134236.0,134236.0,1,51126126,25370322,25370322,0,91787487,0,0,0,1,0,0,1,0
2023,190000.0,190000.0,1,51126126,25370322,25370322,100,14431868,0,0,0,1,0,0,1,0
2023,112000.0,112000.0,1,51126126,25370322,25370322,100,14431868,0,0,0,1,0,0,1,0
2022,84000.0,88256.0,0,49064728,81406157,22777947,100,72608695,0,0,0,1,0,0,1,0
2023,85000.0,85000.0,1,51126126,25370322,25370322,0,39298127,1,0,0,0,0,0,1,0
2023,65000.0,65000.0,1,51126126,25370322,25370322,0,39298127,1,0,0,0,0,0,1,0
2023,135000.0,135000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,105500.0,105500.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,293000.0,293000.0,1,51126126,25370322,25370322,0,45963291,0,0,0,1,0,0,1,0
2023,185000.0,185000.0,1,51126126,25370322,25370322,0,45963291,0,0,0,1,0,0,1,0
2023,80000.0,80000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,70000.0,70000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,220000.0,220000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,160000.0,160000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,175000.0,175000.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,200000.0,200000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,148500.0,148500.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,45000.0,48289.0,1,49064728,81406157,81406157,0,72608695,0,0,0,1,0,0,1,0
2023,36000.0,38631.0,1,49064728,81406157,81406157,0,72608695,0,0,0,1,0,0,1,0
2023,240500.0,240500.0,0,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,123700.0,123700.0,0,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,152900.0,152900.0,1,51126126,25370322,25370322,100,14431868,0,0,0,1,0,0,1,0
2023,117100.0,117100.0,1,51126126,25370322,25370322,100,14431868,0,0,0,1,0,0,1,0
